Wall time,Step,Value
1710854842.8359349,29249,81.0
1710854846.7851686,29349,81.0
1710854848.7163994,29399,82.0
1710854850.7409027,29449,82.0
1710854854.5214965,29549,82.0
1710854858.133814,29649,82.0
1710854861.9123378,29749,83.0
1710854863.7414415,29799,83.0
1710854865.5834868,29849,83.0
1710854871.2101586,29999,83.0
1710854878.6682277,30199,84.0
1710854880.5861976,30249,84.0
1710854882.356547,30299,84.0
1710854884.1857903,30349,84.0
1710854885.9646115,30399,84.0
1710854891.7095647,30449,85.0
1710854893.6517284,30499,85.0
1710854899.7857316,30649,85.0
1710854901.631757,30699,85.0
1710854905.4049122,30799,86.0
1710854909.155474,30899,86.0
1710854911.0502188,30949,86.0
1710854916.5740378,31099,86.0
1710854922.2239377,31249,87.0
1710854924.1630208,31299,87.0
1710854928.2898498,31399,87.0
1710854930.0831275,31449,87.0
1710854932.0316336,31499,87.0
1710854934.0767508,31549,88.0
1710854936.0213678,31599,88.0
1710854937.88771,31649,88.0
1710854939.7112377,31699,88.0
1710854941.6205118,31749,88.0
1710854943.4521282,31799,88.0
1710854951.3974767,31999,89.0
1710854953.2908437,32049,89.0
1710854956.99612,32149,89.0
1710854963.3225098,32219,89.0
1710854964.5210605,32249,90.0
1710854966.343958,32299,90.0
1710854968.1687589,32349,90.0
1710854969.998412,32399,90.0
1710854971.8155801,32449,90.0
1710854973.6180604,32499,90.0
1710854975.4177296,32549,90.0
1710854977.3159726,32599,91.0
1710854980.8965914,32699,91.0
1710854982.66787,32749,91.0
1710854984.5158265,32799,91.0
1710854986.3761754,32849,91.0
1710854988.2267146,32899,91.0
1710854991.915265,32999,92.0
1710854993.7847872,33049,92.0
1710854995.6830301,33099,92.0
1710854999.4577787,33199,92.0
1710855001.3311834,33249,92.0
1710855004.0148597,33299,93.0
1710855005.8209283,33349,93.0
1710855007.7139766,33399,93.0
1710855009.5852706,33449,93.0
1710855011.452384,33499,93.0
1710855013.2845252,33549,93.0
1710855015.1417496,33599,93.0
1710855020.7903006,33749,94.0
1710855024.4631362,33849,94.0
1710855028.2630873,33949,94.0
1710855035.7374868,34049,95.0
1710855037.6199543,34099,95.0
1710855039.4226205,34149,95.0
1710855041.7436056,34199,95.0
1710855043.5636642,34249,95.0
1710855045.4459033,34299,95.0
1710855047.2549412,34349,95.0
1710855049.2257285,34399,96.0
1710855051.1742458,34449,96.0
1710855053.0943296,34499,96.0
1710855054.943419,34549,96.0
1710855056.953303,34599,96.0
1710855058.9768608,34649,96.0
1710855065.0111926,34799,97.0
1710855066.8465793,34849,97.0
1710855072.4438274,34999,97.0
1710855074.3235466,35049,97.0
1710855078.075495,35149,98.0
1710855080.00361,35199,98.0
1710855081.8170185,35249,98.0
1710855083.662098,35299,98.0
1710855085.4372811,35349,98.0
1710855087.2762737,35399,98.0
1710855092.9173439,35549,99.0
1710855095.1500714,35599,99.0
1710855096.9828885,35649,99.0
1710855105.9084034,35799,99.0
1710855108.1153548,35849,100.0
1710855112.0450258,35949,100.0
1710855113.9517126,35999,100.0
1710855115.7797117,36049,100.0
1710855117.89885,36099,100.0
1710855121.8369832,36199,101.0
1710855127.3319254,36349,101.0
1710855129.238594,36399,101.0
1710855132.8760748,36499,101.0
1710855134.7956178,36549,102.0
1710855136.742973,36599,102.0
1710855138.5790002,36649,102.0
1710855140.3424113,36699,102.0
1710855142.5324984,36749,102.0
1710855144.3926408,36799,102.0
1710855146.1965494,36849,102.0
1710855152.2349615,36999,103.0
1710855154.2702641,37049,103.0
1710855157.9195855,37149,103.0
1710855161.662436,37249,104.0
1710855163.5115068,37299,104.0
1710855165.3431222,37349,104.0
1710855167.214595,37399,104.0
1710855170.9780629,37499,104.0
1710855172.8097744,37549,104.0
1710855177.9978375,37589,104.0
1710855178.5214434,37599,105.0
1710855180.389638,37649,105.0
1710855182.184274,37699,105.0
1710855184.0370195,37749,105.0
1710855185.8684995,37799,105.0
1710855191.5378952,37949,106.0
1710855193.3618095,37999,106.0
1710855198.8935874,38149,106.0
1710855200.7825332,38199,106.0
1710855202.5591834,38249,106.0
1710855206.4239533,38349,107.0
1710855210.067004,38449,107.0
1710855212.0497572,38499,107.0
1710855213.937084,38549,107.0
1710855215.796327,38599,107.0
1710855217.6185312,38649,107.0
1710855219.5320842,38699,108.0
1710855221.362304,38749,108.0
1710855223.1967893,38799,108.0
1710855227.4716785,38899,108.0
1710855229.2459602,38949,108.0
1710855231.0741534,38999,108.0
1710855234.86846,39099,109.0
1710855240.3618453,39249,109.0
1710855242.1213806,39299,109.0
1710855243.9565907,39349,109.0
1710855248.7027078,39379,109.0
1710855249.5562513,39399,110.0
1710855253.7347002,39499,110.0
1710855256.0206249,39549,110.0
1710855257.917472,39599,110.0
1710855261.7225084,39699,110.0
1710855263.627574,39749,111.0
1710855267.3118699,39849,111.0
1710855272.9516778,39999,111.0
1710855276.9125814,40099,112.0
1710855278.895103,40149,112.0
1710855280.836618,40199,112.0
1710855286.3774774,40349,112.0
1710855288.1897943,40399,112.0
1710855292.0922296,40499,113.0
1710855293.828604,40549,113.0
1710855297.7258644,40649,113.0
1710855299.6426303,40699,113.0
1710855301.5022848,40749,113.0
1710855305.301595,40849,114.0
